Title,Original,Enhanced 4K,Duration (s),Short
017 SIKKIM Stories,https://www.youtube.com/watch?v=5Wu0PCEahsg,https://www.youtube.com/watch?v=iXI4RQ7vrH4,1948,
022b 21st Century China 4539 feb07,https://www.youtube.com/watch?v=Us1tVOObESU,https://www.youtube.com/watch?v=yI42sWIv0Ck,2746,
023a RAISING CHINA / Interview H-E,https://www.youtube.com/watch?v=acjxyO710lw,https://www.youtube.com/watch?v=IQvgEE7FHDQ,1694,
024 CITY in MAKING,https://www.youtube.com/watch?v=cMvVKrXIN9Y,https://www.youtube.com/watch?v=0bHAKYmHczA,1288,
030a ALICE in WONDERLAND - E,https://www.youtube.com/watch?v=X3J2WOb0FyI,https://www.youtube.com/watch?v=MEHin_ml-kU,2096,
030b ALICE CSODAORSZAGBAN - H,https://www.youtube.com/watch?v=nACZdLod2mU,https://www.youtube.com/watch?v=peCYCFB38fU,1524,
"033 The Takami Family, Tokyo",https://www.youtube.com/watch?v=qeNigfxHkEo,https://www.youtube.com/watch?v=BEa8Z40nQxQ,937,
035 Rettungsmarsch 1913,https://www.youtube.com/watch?v=QfQyjfQTPjw,https://www.youtube.com/watch?v=MbZ12si04u4,819,
"038a YOUNG WOLF / Smolensk - R/G, Esub",https://www.youtube.com/watch?v=yPJT2-Bodhw,https://www.youtube.com/watch?v=_H3VqhRHcgc,1294,
038b IFJU FARKAS / Smolensk - H,https://www.youtube.com/watch?v=L8kk5d87jnk,https://www.youtube.com/watch?v=SfDAt_cFJ9E,1303,
039a Kazakh Television / Interview - E,https://www.youtube.com/watch?v=HM8JI7LlMU0,https://www.youtube.com/watch?v=PksZcvTrDbA,304,
039b Kazakh Television / Interview - R,https://www.youtube.com/watch?v=ouzpBuJuCJk,https://www.youtube.com/watch?v=jZMwVvnUz4Q,305,
042 Behind the Curtain - Interview H/E,https://www.youtube.com/watch?v=FKkFMCWm0HI,https://www.youtube.com/watch?v=NkORKrHJ16Y,559,
043 Land Inside Me - Almaty,https://www.youtube.com/watch?v=f1FFHaB68UY,https://www.youtube.com/watch?v=aSfyJXXAuMY,588,
044 Book of Eyes classic.,https://www.youtube.com/watch?v=IBfMLZghog0,https://www.youtube.com/watch?v=yNhzeLEyeUI,1948,
045a SIBERIA YOU ARE MY LIMIT - R/Esub,https://www.youtube.com/watch?v=CAbPfoe5B_Q,https://www.youtube.com/watch?v=TyEc6Q0eOt4,1775,
046b EGYENSULYBAN / Babushka Masha - H,https://www.youtube.com/watch?v=x6S8pAmrv94,https://www.youtube.com/watch?v=Qykz0y0Wfb0,1608,
049a Liebe Anna - E,https://www.youtube.com/watch?v=KHRHsyGIRlI,https://www.youtube.com/watch?v=iXs-sL-Sf8w,2032,
049b Liebe Anna - D,https://www.youtube.com/watch?v=t6YvdmcGdo8,https://www.youtube.com/watch?v=PGt9Mb3hRTE,2041,
049c Liebe Anna - H,https://www.youtube.com/watch?v=UExLHdyGfwA,https://www.youtube.com/watch?v=5J00iElePW8,2020,
"050a BORN to MOVE / X-treams, X-dreams - Kazakhstan",https://www.youtube.com/watch?v=aUg2dv4XXgM,https://www.youtube.com/watch?v=F_jtAQxN9I0,5828,
"050c BORN to MOVE / X-treams, X-dreams - K/Hsub",https://www.youtube.com/watch?v=WwHJW39JqPk,https://www.youtube.com/watch?v=GtRP5bFFY90,3067,
051a MISHA goes to SCHOOL - R/Esub,https://www.youtube.com/watch?v=rXUD-jxOCuM,,2368,
052a  Itzhak  Frey & Sohn - D,https://www.youtube.com/watch?v=wxJ7SGgb42c,https://www.youtube.com/watch?v=aJyIakn9Sbk,1936,
052ab ITZHAK FREY / Gedanken zur Gründung des Slowakischen Staates - D,https://www.youtube.com/watch?v=28sD05dtKzE,https://www.youtube.com/watch?v=cbbqvaYFsLo,45,yes
052ac ITZHAK FREY / Gedanken zum Antisemitismus in der Schweiz - D,https://www.youtube.com/watch?v=1OGG_98oRqY,https://www.youtube.com/watch?v=HKvHtCek8Ic,77,yes
052ad ITZHAK FREY / Gedanken zu Gebildeten Menschen / Erdbeben / FC Barcelona - D,https://www.youtube.com/watch?v=B3p6iPx0EM0,https://www.youtube.com/watch?v=lZio59r1fbE,84,yes
052af David Frey / Kindheitserinnerungen,https://www.youtube.com/watch?v=aV-BtCv_vzs,https://www.youtube.com/watch?v=vERRoJWRv18,37,yes
052b Itzhak Frey & Son - D/Esub,https://www.youtube.com/watch?v=zPTk4BzdBu8,https://www.youtube.com/watch?v=wsDFrKb6ymw,1945,
052d / Itzhak Frey & Mal'chik - Russian sub,https://www.youtube.com/watch?v=oUnnIVKwxv0,https://www.youtube.com/watch?v=IpkYtLkekEY,1947,
053a / JASMINE and OLIVES,https://www.youtube.com/watch?v=I-W2hJc6q1U,https://www.youtube.com/watch?v=znKC0bKXnA0,1596,
053b  JASMINE and OLIVES - Hsub,https://www.youtube.com/watch?v=OiVFgnVqVpk,https://www.youtube.com/watch?v=ZEOjQBUTa90,1288,
054a / HUMUS for HAMAS / Gaza Strip - Arabic/Esub,https://www.youtube.com/watch?v=G9Whw4gJCeY,https://www.youtube.com/watch?v=7I4ZBIPdyu4,3131,
054b HUMUS for HAMAS - Arabic/Hsub,https://www.youtube.com/watch?v=9lZDEOnRgSU,https://www.youtube.com/watch?v=7I4ZBIPdyu4,3200,
054ca / zwölf sekunden zensur HUMUS for HAMAS,https://www.youtube.com/watch?v=DR9rSeRX8ug,https://www.youtube.com/watch?v=r9YCkV13wto,41,yes
055 Syria Meat - eat meat - meet A SACRIFICE,https://www.youtube.com/watch?v=NllpHjWcq1k,https://www.youtube.com/watch?v=NllpHjWcq1k,1320,
059b / KRAPIVNAJA - LOST in TRANSITION - R/Hsub,https://www.youtube.com/watch?v=yRT12zdB0V4,https://www.youtube.com/watch?v=OnkDQ1TiitA,1433,
060b / LAZAC ÉS MACKO / PARADICSOM - R/Hsub,https://www.youtube.com/watch?v=7qQ47AhQca4,https://www.youtube.com/watch?v=9TtrreTqq0s,1753,
061a / TOLBACHIK - Ludmilla's Volcano - E,https://www.youtube.com/watch?v=uFI77oD4K_k,https://www.youtube.com/watch?v=XbvXjdYO-UI,928,
061b Volcano TOLBACHIK - time change,https://www.youtube.com/watch?v=csxaS-i3wtw,https://www.youtube.com/watch?v=JYOpeAT87ag,928,
063 HARD TALK /  Biene und Mensch - D,https://www.youtube.com/watch?v=aNzqomzOaUo,https://www.youtube.com/watch?v=iGSvOPvPCJo,391,
064 / S(T)INGING BEAUTY / Kamchatka - Russian/Esub,https://www.youtube.com/watch?v=o_nM2N-03UI,https://www.youtube.com/watch?v=jqcb-hnYha8,6839,
066 / The BEATLES in GEORGIA - Georgian/Esub,https://www.youtube.com/watch?v=3teIj0Rttzg,https://www.youtube.com/watch?v=EE-hwKUwHeE,417,
067 / SOMETHING to SAY to the WORLD - Bests from Lis out of Kenya,https://www.youtube.com/watch?v=V1k1xyzaGzY,https://www.youtube.com/watch?v=6ovCHUIpbno,220,yes
068 / SEX on the STEPS - Yellow Mountains,https://www.youtube.com/watch?v=cgHVbxV64VU,https://www.youtube.com/watch?v=sE0QFAuf190,1900,
070b / KMARA - GENUG! / ROSEN-REVOLUTION - G/R/D,https://www.youtube.com/watch?v=hH_E66CkUjQ,https://www.youtube.com/watch?v=YpV4TucVImY,1757,
070c / KMARA - ELÉG! / ROZSAS FORRADALOM,https://www.youtube.com/watch?v=qSgiCb2aJa4,https://www.youtube.com/watch?v=vHI2VvwFgSQ,1757,
072a / Iran / CHADOR CONDOM COFFEESHOP - Farsi/Esub,https://www.youtube.com/watch?v=N_Ui88q-gy8,https://www.youtube.com/watch?v=d6fMr8xD374,3377,
072b / Iran / KOPFTUCH PARISER KAFFEEHAUS - Farsi/Dsub,https://www.youtube.com/watch?v=opavvOpVpUM,https://www.youtube.com/watch?v=DqhK5Mm4Ido,3376,
073 / WANG GUANGYI - Communism Pops - C,https://www.youtube.com/watch?v=BR5U-miBmt4,https://www.youtube.com/watch?v=brA5WOeR5oM,610,
074c / ЗАВЕЩАНИЕ / ЕВГЕНИЮ БУРАКУ - R,https://www.youtube.com/watch?v=v27m8UT4w0M,https://www.youtube.com/watch?v=OcZPE7Gx0Cw,2059,
075a  / MAO's BARBERSHOP - chinese/Esub,https://www.youtube.com/watch?v=4_gaU85Zzog,https://www.youtube.com/watch?v=FRUaXmqxjJk,2072,
077a / Republic of Georgia / WHERE GOD LANDED - R/G/A/O/Esub,https://www.youtube.com/watch?v=q_UgL0Pbet8,https://www.youtube.com/watch?v=vjPiwPzTTjU,3871,
077b / Republik Georgien / FUSSTRITTE GOTTES - R/G/A/O/Dsub,https://www.youtube.com/watch?v=cWGbmkCvGHA,https://www.youtube.com/watch?v=8Dkr7t65k5Q,3871,
077c / Grúz Köztársaság / Ahol Isten Leszállt - Hsub,https://www.youtube.com/watch?v=l8szkLe2eiM,https://www.youtube.com/watch?v=3G7etaHUS44,3876,
079a Iran / HANDSHAKE -- sometimes KISSES - Farsi/Esub,https://www.youtube.com/watch?v=n4Vn38iOsw0,https://www.youtube.com/watch?v=H7otaCwYGfY,907,
079b / Iran / KÉZFOGAS -- és néha csók - Farsi/Hsub,https://www.youtube.com/watch?v=sQdMKkCuXkc,https://www.youtube.com/watch?v=sQdMKkCuXkc,907,
080 / Zhou Tie Hai / MR. CAMEL - Chinese/English,https://www.youtube.com/watch?v=n8nej0rLYG4,https://www.youtube.com/watch?v=ZDyIwNFQdNo,667,
081a / ZENG FANZHI / meat and mask - Chinese/Esub,https://www.youtube.com/watch?v=35EDsDp4aI0,https://www.youtube.com/watch?v=fwZNxa2ZofE,591,
081b / ZENG FANZHI / EMBER és FENEDAD - Chinese/Hsub,https://www.youtube.com/watch?v=AWblTn9NeBQ,https://www.youtube.com/watch?v=EbSLJ5hThSM,592,
082a / Syria / DEIR ez-ZOR دير الزور / CAMELS for BABIES - Arabic/Esub,https://www.youtube.com/watch?v=1iN1Fvei5Jk,https://www.youtube.com/watch?v=WYflmblHs9E,848,
082b / Syria / Tevéket Gyerekekért - Arabic/Hsub,https://www.youtube.com/watch?v=IDZ3VoE3bNo,https://www.youtube.com/watch?v=2sxZqg3tPCo,847,
083e / DPRK / haircut in a cooperative state farm - Wonsan,https://www.youtube.com/watch?v=aOn12f4HN4E,https://www.youtube.com/watch?v=_63Nc9Dh2m0,336,
084 South Korea / Penis Parc - Korean/Esub,https://www.youtube.com/watch?v=lBtqIR7eu5A,https://www.youtube.com/watch?v=Aelug9G8qLg,517,
085 c / Maasai People,https://www.youtube.com/watch?v=bnbaapXPOjg,https://www.youtube.com/watch?v=eVr9mpzWlYc,1139,
085 DEER VISION - Kenya,https://www.youtube.com/watch?v=EywN1gXXrAQ,https://www.youtube.com/watch?v=KYXcpSVkhJ4,1720,
085a / 50 tons of wild life - Kenya,https://www.youtube.com/watch?v=AjiFJbsRYyg,https://www.youtube.com/watch?v=IQd5tL7N6Lc,205,yes
"088 / Ukraine's Maidan, Kyiv",https://www.youtube.com/watch?v=uew-t12ZP5Q,https://www.youtube.com/watch?v=3Bv5VXtuPiI,782,
089 / Sberbank Kyiv,https://www.youtube.com/watch?v=gJe-iNomJLk,https://www.youtube.com/watch?v=ZP4QMd557z0,231,yes
091 / Dinner at Natasha and Petro,https://www.youtube.com/watch?v=CM_Qhcpc1us,https://www.youtube.com/watch?v=uoIxmJeb6Kg,492,
"092 / Tatra Tram in Kyiv, Ukraine",https://www.youtube.com/watch?v=g_ynBcYgNoM,https://www.youtube.com/watch?v=6v76fsb8jes,414,
"093 / Karpfen and Mirage, Winniza, Ukraine",https://www.youtube.com/watch?v=HcWVqIwrBE4,https://www.youtube.com/watch?v=x-HQL07mzVA,788,
094 / Welcome to Ukraine,https://www.youtube.com/watch?v=Tg8RccQYnPA,https://www.youtube.com/watch?v=TzMvazqITUk,286,
1997 HAND OVER,https://www.youtube.com/watch?v=R4bK1jJSfQc,https://www.youtube.com/watch?v=ibzy77-a-2A,14,yes
86c / Baboons out of Kenya,https://www.youtube.com/watch?v=Oy6C9xa-IkQ,https://www.youtube.com/watch?v=rqZoxtXql9E,376,
90 / Heavenly Private Papamobil,https://www.youtube.com/watch?v=hYvlNNcPPEI,https://www.youtube.com/watch?v=0s3BrKzmNsg,164,yes
?🎞?🎥?,https://www.youtube.com/watch?v=J42Hm1gVt_U,https://www.youtube.com/watch?v=BmePQu4Vs6A,15,yes
A TESTAMENTUM – Yevgenyi Burak,https://www.youtube.com/watch?v=dOF5NTLfmn0,https://www.youtube.com/watch?v=aoxjEktqruo,2060,
"ACCORDION LESSON, DPRK",https://www.youtube.com/watch?v=AkAtP0oKCMs,https://www.youtube.com/watch?v=NywefhQNLlE,215,yes
ARCHITECTURE of a TRIAL,https://www.youtube.com/watch?v=Z3JLO-Vpk5U,https://www.youtube.com/watch?v=zBf7_L8FIvs,1281,
At natives deep inside Kamchatka,https://www.youtube.com/watch?v=qnQMFzoMsHA,https://www.youtube.com/watch?v=N1ZiC_cgKHs,15,yes
Base Camp Everest – Top of the world,https://www.youtube.com/watch?v=aefe1fn7Kf0,https://www.youtube.com/watch?v=1pUDVop1Cm8,1052,
Bei meiner Ehre…,https://www.youtube.com/watch?v=aqs-jHb2pnk,https://www.youtube.com/watch?v=v7LCs1oi448,15,yes
BHUTAN LIVE,https://www.youtube.com/watch?v=Q9VKZeHaUIc,https://www.youtube.com/watch?v=oss3TV8iTfw,2540,
BLUEPRINTS of LIFE,https://www.youtube.com/watch?v=tljAVZCj6lw,https://www.youtube.com/watch?v=gMSy6_iTGZA,3602,
"BRUSH PAINTING, DPRK",https://www.youtube.com/watch?v=sIK1U7gS-tw,https://www.youtube.com/watch?v=1YiVtv_Kfww,58,yes
BUDAPEST diary,https://www.youtube.com/watch?v=8wqZivWVLZs,https://www.youtube.com/watch?v=b5OT2KCWapY,2344,
CABBAGE NETWORK,https://www.youtube.com/watch?v=P5eG6xQ1gJg,https://www.youtube.com/watch?v=Xi2HpIz0Km8,15,yes
China / CCTV - I TOOLS - EYE TOOLS - a portrait of Jürg Da Vaz,https://www.youtube.com/watch?v=2udCsqGRnyg,https://www.youtube.com/watch?v=2udCsqGRnyg,2448,
CHINA / CCTV - PORTRAIT of JÜRG DA VAZ,https://www.youtube.com/watch?v=R2zxpDOmjfA,https://www.youtube.com/watch?v=euDJXk6hC80,3046,
COME WITH ME,https://www.youtube.com/watch?v=fwSfBzIftJI,https://www.youtube.com/watch?v=f9p8OC51L9c,15,yes
CROSS BORDERS,https://www.youtube.com/watch?v=RTcR_xd9S_I,https://www.youtube.com/watch?v=c7Pk8lso6AA,15,yes
CUTTING-EDGE,https://www.youtube.com/watch?v=QPQyVHtCyho,https://www.youtube.com/watch?v=tiaduUWvu_k,15,yes
DAS TESTAMENT - Yevgenyi Burak,https://www.youtube.com/watch?v=-eTyUFV-KB8,https://www.youtube.com/watch?v=ZL4fpsfZ9KQ,2056,
DON'T LOOK HERE,https://www.youtube.com/watch?v=TPxRCZqsrPo,https://www.youtube.com/watch?v=_XCeF_E9Pmo,15,yes
DPRK / 37th floor - Pyongyang,https://www.youtube.com/watch?v=6JCZA5BMpg0,https://www.youtube.com/watch?v=R6F-ie6gQiE,119,yes
"DPRK / Dongan - Pyongyang, uncensored footage",https://www.youtube.com/watch?v=BXdKRjSVsvg,https://www.youtube.com/watch?v=oR6dNEbBMDk,1187,
DPRK / DRAMA CLASS,https://www.youtube.com/watch?v=pdya9ZzlGhg,https://www.youtube.com/watch?v=ghUf1WlCvZg,87,yes
DPRK / GAYAGEUM - concert zither,https://www.youtube.com/watch?v=0RRuKv3u7dU,https://www.youtube.com/watch?v=lLNFpEBOaIE,228,yes
DPRK / Guns and Cherry Blossoms,https://www.youtube.com/watch?v=rNtr5Y7Yaok,https://www.youtube.com/watch?v=mgiCufz-q4E,112,yes
DPRK / Hero to Zero / eyes wide - mouth shut,https://www.youtube.com/watch?v=NyUEAixkcfQ,https://www.youtube.com/watch?v=Y6gWfXoTH9M,3676,
DPRK / KIM DYNASTY - teaching method,https://www.youtube.com/watch?v=5AdE5zNRq6w,https://www.youtube.com/watch?v=YyxnEtDf3G4,54,yes
DPRK / KIM JONG IL / moviemaker - all about love,https://www.youtube.com/watch?v=nIjgA9_9tgM,https://www.youtube.com/watch?v=KLCqrlGWOnE,158,yes
DPRK / Overland from Panmunjon to Pyongyang,https://www.youtube.com/watch?v=PVSGvKb2pzU,https://www.youtube.com/watch?v=M_DZeS67Wy8,359,
DPRK / Pyongyang Metro,https://www.youtube.com/watch?v=-x_aIkSrXFw,https://www.youtube.com/watch?v=mUHM3XTG8yA,391,
DPRK / Swiss Yodeling over Pyongyang,https://www.youtube.com/watch?v=4sgXo0I4uTI,https://www.youtube.com/watch?v=u0JhthQKRhY,143,yes
DPRK / TRADITIONAL DANCE,https://www.youtube.com/watch?v=y81sU3NL3Fo,https://www.youtube.com/watch?v=rKXO40z_6P4,62,yes
"DRAWING PRACTISE, DPRK",https://www.youtube.com/watch?v=lCpwATzkfMA,https://www.youtube.com/watch?v=WDUOdzD7iR0,117,yes
drip drip,https://www.youtube.com/watch?v=MKwI2DLtPos,https://www.youtube.com/watch?v=ckW6tqVuvYc,15,yes
EMOTIONS,https://www.youtube.com/watch?v=Gz-ulMPi8R8,https://www.youtube.com/watch?v=lXDPKBVXVgU,15,yes
enter 🇧🇹BHUTAN🇧🇹,https://www.youtube.com/watch?v=ef1zAYI6Akg,https://www.youtube.com/watch?v=dPuyFU3T2Hg,15,yes
FAMILY LIFE,https://www.youtube.com/watch?v=uGvmLs3uBys,https://www.youtube.com/watch?v=NEgJG19P0uw,15,yes
FATHER SAID:,https://www.youtube.com/watch?v=I0HeJAlbtY4,https://www.youtube.com/watch?v=8-656HNLAO4,13,yes
FILMTIME – MTV m2 Hungarian Television,https://www.youtube.com/watch?v=hH4mTkFUKdg,https://www.youtube.com/watch?v=dJAybqPxKfw,3143,
FISH n‘ PISS,https://www.youtube.com/watch?v=UbZzwqQ1ocw,https://www.youtube.com/watch?v=0apHF3mNDac,6,yes
Fly over Kamchatka,https://www.youtube.com/watch?v=6L-z22_WnvA,https://www.youtube.com/watch?v=c-rqUkjdxk0,145,yes
FORCED adjustment,https://www.youtube.com/watch?v=UvrS8IpQSl8,https://www.youtube.com/watch?v=8k6_LMfbMiM,15,yes
fucking good KAMCHATKA – Ballet for Two Poachers (English Edition),https://www.youtube.com/watch?v=Ydkc8oZzHBY,,2004,
fucking good KAMCHATKA – Ballett für Zwei Fischdiebe (Deutsche Edition),https://www.youtube.com/watch?v=rxHoEF73O5k,https://www.youtube.com/watch?v=6qgf1ve82bk,2004,
fucking good KAMCHATKA – kurva jó (Hungarian Edition),https://www.youtube.com/watch?v=XtzTRGmGWuM,https://www.youtube.com/watch?v=-rNd-pElc6s,2018,
Fundaziun Da Vaz – Ein Einblick,https://www.youtube.com/watch?v=mlPRxM0RY3E,https://www.youtube.com/watch?v=SDyTrVeEsPM,486,
FUNdaziun DA VAZ – mumaints dal temp,https://www.youtube.com/watch?v=KR9bAUPmCPc,https://www.youtube.com/watch?v=KR9bAUPmCPc,1140,
GAZA / 35 Million Dollars in a Suitcase – Gaza in Pain,https://www.youtube.com/watch?v=lA-HJkXDE2A,https://www.youtube.com/watch?v=PKNfogo5kyE,1106,
GAZA / HAMAS – RISE to POWER (English Edition),https://www.youtube.com/watch?v=N6jAviwcNmo,https://www.youtube.com/watch?v=AWZcGZVfpDw,1931,
"GIRL'S CHOIR, DPRK",https://www.youtube.com/watch?v=m4j94BSQMp4,https://www.youtube.com/watch?v=ygd0y24iPcQ,257,
GRILLED PIG,https://www.youtube.com/watch?v=TXE3bBaK8zY,https://www.youtube.com/watch?v=otJ58Ik1ElY,12,yes
Hairdresser in Georgia,https://www.youtube.com/watch?v=kIIFdZrQuTQ,https://www.youtube.com/watch?v=0DD5phUDsuo,139,yes
hard BEAT,https://www.youtube.com/watch?v=8AW2b8VvDtk,https://www.youtube.com/watch?v=EKOOw93eJzk,15,yes
HELLO 👋 HELLO,https://www.youtube.com/watch?v=BLP5KBjSHaU,https://www.youtube.com/watch?v=CTLBFJeh5ig,15,yes
HEY 🦛 HEY,https://www.youtube.com/watch?v=pi9sOSMrEqY,https://www.youtube.com/watch?v=zq7Hce5WrKg,15,yes
HONGKONG / MORPHOPOLIS,https://www.youtube.com/watch?v=NKXxfXK8qbI,https://www.youtube.com/watch?v=aohfhVId4h8,1080,
How do you do in DPRK?,https://www.youtube.com/watch?v=td5h1Gcx0gg,https://www.youtube.com/watch?v=EUl60qxR980,55,yes
Humus for Hamas subtitles in FARSI 24.09.2010,https://www.youtube.com/watch?v=Uv5kGuyJSbc,https://www.youtube.com/watch?v=GOZtTpoaUaM,3010,
INDIA / O! LUCKY CALCUTTA,https://www.youtube.com/watch?v=Rmjega-OZQg,https://www.youtube.com/watch?v=odxj3_y_peI,2126,
INTERVIEW / FOKUSZ – RTL CLUB,https://www.youtube.com/watch?v=_dxcOch0CrU,https://www.youtube.com/watch?v=Ys0NcLodiv0,221,yes
ISRAEL / ITZHAK FREY & FIA (Hungarian Edition),https://www.youtube.com/watch?v=MpZicz5Nkrg,https://www.youtube.com/watch?v=IznuQhn_t2Y,1948,
"Itzhak Frei, working in his own bakery 🥯 in Mea Shearim, Jerusalem",https://www.youtube.com/watch?v=wjAkVoSN8jE,https://www.youtube.com/watch?v=8tqRxfx8vyE,15,yes
Itzhak Frey gondolata a Felvidékről,https://www.youtube.com/watch?v=wtn4-4bQKsk,https://www.youtube.com/watch?v=DR3SvU4_-Pk,44,yes
It’s a Family Game,https://www.youtube.com/watch?v=nt_PzgdjJ2Y,https://www.youtube.com/watch?v=nt_PzgdjJ2Y,15,yes
"JAPAN / High School Girls - SHIBUYA - 171,2%",https://www.youtube.com/watch?v=v1YJC8dMaas,https://www.youtube.com/watch?v=Ah8fusNxaJU,3289,
KAMCHATKA / BEAR and FISH (English Edition),https://www.youtube.com/watch?v=0tapt-cyoSY,https://www.youtube.com/watch?v=3uOFkulu-p4,1753,
KAMCHATKA / LOST in TRANSITION (English Edition),https://www.youtube.com/watch?v=9Rz8jpSUmPM,https://www.youtube.com/watch?v=iCvKylpkr64,1434,
KAMCHATKA / TOLBACHIK 1975-2005,https://www.youtube.com/watch?v=6hUUJNMZKDw,https://www.youtube.com/watch?v=pzMKDArsh5s,1029,
KAZAKHSTAN / ARAL SEA - Moments for Monuments,https://www.youtube.com/watch?v=0DNzxYaPVPs,https://www.youtube.com/watch?v=7gom0CqjGNQ,1340,
KAZAKHSTAN / BALANCE of LIFE – BABUSHKA MASHA (English Edition),https://www.youtube.com/watch?v=j1J5t163asA,https://www.youtube.com/watch?v=pwS9hUgSkPk,1629,
KAZAKHSTAN / EGYENSÚLYBAN – BABUSHKA MASHA (Hungarian Edition),https://www.youtube.com/watch?v=vVJAdgh-yxo,https://www.youtube.com/watch?v=vVJAdgh-yxo,1609,
KAZAKHSTAN / ETERNAL HOME,https://www.youtube.com/watch?v=tkCxiE1Wlrw,https://www.youtube.com/watch?v=PeOEG5N-0pQ,3513,
kids🤸‍♀️KIDS🤸‍♀️kids🤸‍♀️KIDS🤸‍♀️kids,https://www.youtube.com/watch?v=yt1tQsqYI1s,https://www.youtube.com/watch?v=InqzebexOfM,15,yes
"MACH aus dem VERGANGENEN, was Du KANNST",https://www.youtube.com/watch?v=k3nEp6-h5ZA,https://www.youtube.com/watch?v=-XEgYOQkIos,1138,
MAKE-UP,https://www.youtube.com/watch?v=c6soqG3ZYMA,https://www.youtube.com/watch?v=F70DYigxYpk,15,yes
MAMA TALK,https://www.youtube.com/watch?v=akfCabK-6jA,https://www.youtube.com/watch?v=lLkbEg6reJ4,12,yes
MATTER OF CHANCE,https://www.youtube.com/watch?v=RkRryabSdiw,https://www.youtube.com/watch?v=EfUzmAA2xSY,15,yes
Museum Da Vaz Februar 2024 Santa Maria,https://www.youtube.com/watch?v=UrwKbdcn5DY,https://www.youtube.com/watch?v=kHsGxlyoA5k,628,
Museum Elephant,https://www.youtube.com/watch?v=T5H9nBJ99SU,https://www.youtube.com/watch?v=2gCNWc-sanw,28,yes
Museum Rundgang Werni 2024,https://www.youtube.com/watch?v=e1e-_J0PzTY,https://www.youtube.com/watch?v=e1e-_J0PzTY,2014,
MY STUDENTS,https://www.youtube.com/watch?v=J5Sn3T0eSFU,https://www.youtube.com/watch?v=lsgvFPpp7S0,15,yes
nur für DOKUMENT‼️,https://www.youtube.com/watch?v=dqiDqnYOHrU,https://www.youtube.com/watch?v=MEVmOuuoiFg,15,yes
Palestine / HAIDER ABDELSHAFI - last interview,https://www.youtube.com/watch?v=4bLA0adDPaI,https://www.youtube.com/watch?v=MOpfwkuh1Bw,1339,
paphlipff…pap-philipff…ppflapilphfefe,https://www.youtube.com/watch?v=UG1krgFORrk,https://www.youtube.com/watch?v=cIyvxkSxngY,13,yes
PHILOMENA,https://www.youtube.com/watch?v=EnnKos4thVc,https://www.youtube.com/watch?v=aHclD5L5k3U,13,yes
"PIANO PRACTISE, DPRK",https://www.youtube.com/watch?v=4QqadqB5ZSs,https://www.youtube.com/watch?v=ewYUqJL3uEQ,158,yes
PICK AND PEN,https://www.youtube.com/watch?v=UWMqbzQUfI0,https://www.youtube.com/watch?v=Sxrs26lU8ss,15,yes
Pick and Pen,https://www.youtube.com/watch?v=d6ph7n4k35Y,https://www.youtube.com/watch?v=_j7GCIgrCIU,830,
PIG OPERA,https://www.youtube.com/watch?v=PPCRMgkcBFc,https://www.youtube.com/watch?v=SiQM_y9ALB0,888,
