=== ALLE 251 ENHANCED 4K VIDEOS AUF YOUTUBE ===
Enhanced Title,Enhanced 4K URL,Original URL,Status
023a RAISING CHINA / Interview H-E (Enhanced 4K),https://www.youtube.com/watch?v=IQvgEE7FHDQ,https://www.youtube.com/watch?v=acjxyO710lw,zugeordnet
024 CITY in MAKING (Enhanced 4K),https://www.youtube.com/watch?v=0bHAKYmHczA,https://www.youtube.com/watch?v=cMvVKrXIN9Y,zugeordnet
030a ALICE in WONDERLAND - E (Enhanced 4K),https://www.youtube.com/watch?v=dmc1yVkCc20,,nicht zugeordnet
030a ALICE in WONDERLAND - E (Enhanced 4K),https://www.youtube.com/watch?v=MEHin_ml-kU,https://www.youtube.com/watch?v=X3J2WOb0FyI,zugeordnet
030b ALICE CSODAORSZAGBAN - H (Enhanced 4K),https://www.youtube.com/watch?v=peCYCFB38fU,https://www.youtube.com/watch?v=nACZdLod2mU,zugeordnet
"033 The Takami Family, Tokyo (Enhanced 4K)",https://www.youtube.com/watch?v=BEa8Z40nQxQ,https://www.youtube.com/watch?v=qeNigfxHkEo,zugeordnet
035 Rettungsmarsch 1913 (Enhanced 4K),https://www.youtube.com/watch?v=F5c4eIan2ZM,,nicht zugeordnet
035 Rettungsmarsch 1913 (Enhanced 4K),https://www.youtube.com/watch?v=MbZ12si04u4,https://www.youtube.com/watch?v=QfQyjfQTPjw,zugeordnet
"038a YOUNG WOLF / Smolensk - R/G, Esub (Enhanced 4K)",https://www.youtube.com/watch?v=_H3VqhRHcgc,https://www.youtube.com/watch?v=yPJT2-Bodhw,zugeordnet
038b IFJU FARKAS / Smolensk - H (Enhanced 4K),https://www.youtube.com/watch?v=SfDAt_cFJ9E,https://www.youtube.com/watch?v=L8kk5d87jnk,zugeordnet
039a Kazakh Television / Interview - E (Enhanced 4K),https://www.youtube.com/watch?v=PksZcvTrDbA,https://www.youtube.com/watch?v=HM8JI7LlMU0,zugeordnet
039b Kazakh Television / Interview - R (Enhanced 4K),https://www.youtube.com/watch?v=jZMwVvnUz4Q,https://www.youtube.com/watch?v=ouzpBuJuCJk,zugeordnet
042 Behind the Curtain - Interview H/E (Enhanced 4K),https://www.youtube.com/watch?v=NkORKrHJ16Y,https://www.youtube.com/watch?v=FKkFMCWm0HI,zugeordnet
043 Land Inside Me - Almaty (Enhanced 4K),https://www.youtube.com/watch?v=-P7n9IGutH0,,nicht zugeordnet
043 Land Inside Me - Almaty (Enhanced 4K),https://www.youtube.com/watch?v=aSfyJXXAuMY,https://www.youtube.com/watch?v=f1FFHaB68UY,zugeordnet
044 Book of Eyes classic. (Enhanced 4K),https://www.youtube.com/watch?v=yNhzeLEyeUI,https://www.youtube.com/watch?v=IBfMLZghog0,zugeordnet
045a SIBERIA YOU ARE MY LIMIT - R/Esub (Enhanced 4K),https://www.youtube.com/watch?v=TyEc6Q0eOt4,,nicht zugeordnet
045a SIBERIA YOU ARE MY LIMIT - R/Esub (Enhanced 4K),https://www.youtube.com/watch?v=U03DKEq8X3A,https://www.youtube.com/watch?v=CAbPfoe5B_Q,zugeordnet
046b EGYENSULYBAN / Babushka Masha - H (Enhanced 4K),https://www.youtube.com/watch?v=Qykz0y0Wfb0,https://www.youtube.com/watch?v=vVJAdgh-yxo,zugeordnet
049a Liebe Anna - E (Enhanced 4K),https://www.youtube.com/watch?v=iXs-sL-Sf8w,https://www.youtube.com/watch?v=KHRHsyGIRlI,zugeordnet
049b Liebe Anna - D (Enhanced 4K),https://www.youtube.com/watch?v=PGt9Mb3hRTE,https://www.youtube.com/watch?v=t6YvdmcGdo8,zugeordnet
049c Liebe Anna - H (Enhanced 4K),https://www.youtube.com/watch?v=5J00iElePW8,https://www.youtube.com/watch?v=UExLHdyGfwA,zugeordnet
"050a BORN to MOVE / X-treams, X-dreams - Kazakhstan (Enhanced 4K)",https://www.youtube.com/watch?v=F_jtAQxN9I0,https://www.youtube.com/watch?v=aUg2dv4XXgM,zugeordnet
"050c BORN to MOVE / X-treams, X-dreams - K/Hsub (Enhanced 4K)",https://www.youtube.com/watch?v=GtRP5bFFY90,https://www.youtube.com/watch?v=WwHJW39JqPk,zugeordnet
"050c BORN to MOVE / X-treams, X-dreams - K/Hsub (Enhanced 4K)",https://www.youtube.com/watch?v=mJYxbTNeGnc,,nicht zugeordnet
052a  Itzhak  Frey & Sohn - D (Enhanced 4K),https://www.youtube.com/watch?v=aJyIakn9Sbk,https://www.youtube.com/watch?v=wxJ7SGgb42c,zugeordnet
052ab ITZHAK FREY / Gedanken zur Gründung des Slowakischen Staates - D (Enhanced 4K),https://www.youtube.com/watch?v=cbbqvaYFsLo,https://www.youtube.com/watch?v=28sD05dtKzE,zugeordnet
052ac ITZHAK FREY / Gedanken zum Antisemitismus in der Schweiz - D (Enhanced 4K),https://www.youtube.com/watch?v=HKvHtCek8Ic,https://www.youtube.com/watch?v=1OGG_98oRqY,zugeordnet
052af David Frey / Kindheitserinnerungen (Enhanced 4K),https://www.youtube.com/watch?v=vERRoJWRv18,https://www.youtube.com/watch?v=aV-BtCv_vzs,zugeordnet
052b Itzhak Frey & Son - D/Esub (Enhanced 4K v1),https://www.youtube.com/watch?v=pecQn255V_Q,https://www.youtube.com/watch?v=wsDFrKb6ymw,zugeordnet
052b Itzhak Frey & Son - D/Esub (Enhanced 4K v2),https://www.youtube.com/watch?v=Na5W8h262f4,https://www.youtube.com/watch?v=pecQn255V_Q,zugeordnet
052b Itzhak Frey & Son - D/Esub (Enhanced 4K),https://www.youtube.com/watch?v=wsDFrKb6ymw,https://www.youtube.com/watch?v=zPTk4BzdBu8,zugeordnet
052d / Itzhak Frey & Mal'chik - Russian sub (Enhanced 4K),https://www.youtube.com/watch?v=YJWBnMEoJqI,,nicht zugeordnet
052d / Itzhak Frey & Mal'chik - Russian sub (Enhanced 4K),https://www.youtube.com/watch?v=5ggnIVF7BFc,,nicht zugeordnet
052d / Itzhak Frey & Mal'chik - Russian sub (Enhanced 4K),https://www.youtube.com/watch?v=IpkYtLkekEY,https://www.youtube.com/watch?v=oUnnIVKwxv0,zugeordnet
053a / JASMINE and OLIVES (Enhanced 4K),https://www.youtube.com/watch?v=znKC0bKXnA0,https://www.youtube.com/watch?v=I-W2hJc6q1U,zugeordnet
053b  JASMINE and OLIVES - Hsub (Enhanced 4K),https://www.youtube.com/watch?v=ZEOjQBUTa90,https://www.youtube.com/watch?v=OiVFgnVqVpk,zugeordnet
054a / HUMUS for HAMAS / Gaza Strip - Arabic/Esub (Enhanced 4K),https://www.youtube.com/watch?v=7I4ZBIPdyu4,https://www.youtube.com/watch?v=G9Whw4gJCeY,zugeordnet
054b HUMUS for HAMAS - Arabic/Hsub (Enhanced 4K),https://www.youtube.com/watch?v=yfqvStQjM3o,https://www.youtube.com/watch?v=9lZDEOnRgSU,zugeordnet
054ca / zwölf sekunden zensur HUMUS for HAMAS (Enhanced 4K),https://www.youtube.com/watch?v=r9YCkV13wto,https://www.youtube.com/watch?v=DR9rSeRX8ug,zugeordnet
059b / KRAPIVNAJA - LOST in TRANSITION - R/Hsub (Enhanced 4K),https://www.youtube.com/watch?v=OnkDQ1TiitA,https://www.youtube.com/watch?v=yRT12zdB0V4,zugeordnet
060b / LAZAC ÉS MACKO / PARADICSOM - R/Hsub (Enhanced 4K),https://www.youtube.com/watch?v=9TtrreTqq0s,https://www.youtube.com/watch?v=7qQ47AhQca4,zugeordnet
061a / TOLBACHIK - Ludmilla's Volcano - E (Enhanced 4K),https://www.youtube.com/watch?v=XbvXjdYO-UI,https://www.youtube.com/watch?v=uFI77oD4K_k,zugeordnet
061b Volcano TOLBACHIK - time change (Enhanced 4K),https://www.youtube.com/watch?v=JYOpeAT87ag,https://www.youtube.com/watch?v=csxaS-i3wtw,zugeordnet
063 HARD TALK /  Biene und Mensch - D (Enhanced 4K),https://www.youtube.com/watch?v=iGSvOPvPCJo,https://www.youtube.com/watch?v=aNzqomzOaUo,zugeordnet
064 / S(T)INGING BEAUTY / Kamchatka - Russian/Esub (Enhanced 4K),https://www.youtube.com/watch?v=jqcb-hnYha8,https://www.youtube.com/watch?v=o_nM2N-03UI,zugeordnet
066 / The BEATLES in GEORGIA - Georgian/Esub (Enhanced 4K),https://www.youtube.com/watch?v=EE-hwKUwHeE,https://www.youtube.com/watch?v=3teIj0Rttzg,zugeordnet
067 / SOMETHING to SAY to the WORLD - Bests from Lis out of Kenya (Enhanced 4K),https://www.youtube.com/watch?v=6ovCHUIpbno,https://www.youtube.com/watch?v=V1k1xyzaGzY,zugeordnet
068 / SEX on the STEPS - Yellow Mountains (Enhanced 4K),https://www.youtube.com/watch?v=sE0QFAuf190,https://www.youtube.com/watch?v=cgHVbxV64VU,zugeordnet
070b / KMARA - GENUG! / ROSEN-REVOLUTION - G/R/D (Enhanced 4K),https://www.youtube.com/watch?v=YpV4TucVImY,https://www.youtube.com/watch?v=hH_E66CkUjQ,zugeordnet
070c / KMARA - ELÉG! / ROZSAS FORRADALOM (Enhanced 4K),https://www.youtube.com/watch?v=vHI2VvwFgSQ,https://www.youtube.com/watch?v=qSgiCb2aJa4,zugeordnet
072a / Iran / CHADOR CONDOM COFFEESHOP - Farsi/Esub (Enhanced 4K),https://www.youtube.com/watch?v=tHoHrj45oCE,https://www.youtube.com/watch?v=N_Ui88q-gy8,zugeordnet
072b / Iran / KOPFTUCH PARISER KAFFEEHAUS - Farsi/Dsub (Enhanced 4K v1),https://www.youtube.com/watch?v=cX0QadnXA-s,https://www.youtube.com/watch?v=J1VEC3Us21Q,zugeordnet
072b / Iran / KOPFTUCH PARISER KAFFEEHAUS - Farsi/Dsub (Enhanced 4K v1) (Enhanced 4K v2),https://www.youtube.com/watch?v=BG4WiqcoBsQ,https://www.youtube.com/watch?v=cX0QadnXA-s,zugeordnet
072b / Iran / KOPFTUCH PARISER KAFFEEHAUS - Farsi/Dsub (Enhanced 4K v3),https://www.youtube.com/watch?v=MP_A-4xcmgA,https://www.youtube.com/watch?v=BG4WiqcoBsQ,zugeordnet
072b / Iran / KOPFTUCH PARISER KAFFEEHAUS - Farsi/Dsub (Enhanced 4K),https://www.youtube.com/watch?v=J1VEC3Us21Q,https://www.youtube.com/watch?v=opavvOpVpUM,zugeordnet
073 / WANG GUANGYI - Communism Pops - C (Enhanced 4K),https://www.youtube.com/watch?v=brA5WOeR5oM,https://www.youtube.com/watch?v=BR5U-miBmt4,zugeordnet
074c / ЗАВЕЩАНИЕ / ЕВГЕНИЮ БУРАКУ - R (Enhanced 4K),https://www.youtube.com/watch?v=OcZPE7Gx0Cw,https://www.youtube.com/watch?v=v27m8UT4w0M,zugeordnet
075a  / MAO's BARBERSHOP - chinese/Esub (Enhanced 4K),https://www.youtube.com/watch?v=FRUaXmqxjJk,https://www.youtube.com/watch?v=4_gaU85Zzog,zugeordnet
077a / Republic of Georgia / WHERE GOD LANDED - R/G/A/O/Esub (Enhanced 4K),https://www.youtube.com/watch?v=vjPiwPzTTjU,https://www.youtube.com/watch?v=q_UgL0Pbet8,zugeordnet
077b / Republik Georgien / FUSSTRITTE GOTTES - R/G/A/O/Dsub (Enhanced 4K),https://www.youtube.com/watch?v=8Dkr7t65k5Q,https://www.youtube.com/watch?v=cWGbmkCvGHA,zugeordnet
077c / Grúz Köztársaság / Ahol Isten Leszállt - Hsub (Enhanced 4K),https://www.youtube.com/watch?v=3G7etaHUS44,https://www.youtube.com/watch?v=l8szkLe2eiM,zugeordnet
079a Iran / HANDSHAKE -- sometimes KISSES - Farsi/Esub (Enhanced 4K),https://www.youtube.com/watch?v=H7otaCwYGfY,https://www.youtube.com/watch?v=n4Vn38iOsw0,zugeordnet
080 / Zhou Tie Hai / MR. CAMEL - Chinese/English (Enhanced 4K),https://www.youtube.com/watch?v=ZDyIwNFQdNo,https://www.youtube.com/watch?v=n8nej0rLYG4,zugeordnet
081a / ZENG FANZHI / meat and mask - Chinese/Esub (Enhanced 4K),https://www.youtube.com/watch?v=fwZNxa2ZofE,https://www.youtube.com/watch?v=35EDsDp4aI0,zugeordnet
081b / ZENG FANZHI / EMBER és FENEDAD - Chinese/Hsub (Enhanced 4K),https://www.youtube.com/watch?v=EbSLJ5hThSM,https://www.youtube.com/watch?v=AWblTn9NeBQ,zugeordnet
082a / Syria / DEIR ez-ZOR دير الزور / CAMELS for BABIES - Arabic/Esub (Enhanced 4K),https://www.youtube.com/watch?v=07V4vfc4yKk,,nicht zugeordnet
082a / Syria / DEIR ez-ZOR دير الزور / CAMELS for BABIES - Arabic/Esub (Enhanced 4K),https://www.youtube.com/watch?v=WYflmblHs9E,https://www.youtube.com/watch?v=1iN1Fvei5Jk,zugeordnet
082b / Syria / Tevéket Gyerekekért - Arabic/Hsub (Enhanced 4K),https://www.youtube.com/watch?v=2sxZqg3tPCo,https://www.youtube.com/watch?v=IDZ3VoE3bNo,zugeordnet
083e / DPRK / haircut in a cooperative state farm - Wonsan (Enhanced 4K),https://www.youtube.com/watch?v=_63Nc9Dh2m0,https://www.youtube.com/watch?v=aOn12f4HN4E,zugeordnet
084 South Korea / Penis Parc - Korean/Esub (Enhanced 4K),https://www.youtube.com/watch?v=Aelug9G8qLg,https://www.youtube.com/watch?v=lBtqIR7eu5A,zugeordnet
085 c / Maasai People (Enhanced 4K),https://www.youtube.com/watch?v=eVr9mpzWlYc,https://www.youtube.com/watch?v=bnbaapXPOjg,zugeordnet
085 DEER VISION - Kenya (Enhanced 4K),https://www.youtube.com/watch?v=POuSJykDNE8,,nicht zugeordnet
085 DEER VISION - Kenya (Enhanced 4K),https://www.youtube.com/watch?v=KYXcpSVkhJ4,https://www.youtube.com/watch?v=EywN1gXXrAQ,zugeordnet
085a / 50 tons of wild life - Kenya (Enhanced 4K),https://www.youtube.com/watch?v=IQd5tL7N6Lc,https://www.youtube.com/watch?v=AjiFJbsRYyg,zugeordnet
"088 / Ukraine's Maidan, Kyiv (Enhanced 4K)",https://www.youtube.com/watch?v=3Bv5VXtuPiI,https://www.youtube.com/watch?v=uew-t12ZP5Q,zugeordnet
089 / Sberbank Kyiv (Enhanced 4K),https://www.youtube.com/watch?v=ZP4QMd557z0,https://www.youtube.com/watch?v=gJe-iNomJLk,zugeordnet
091 / Dinner at Natasha and Petro (Enhanced 4K),https://www.youtube.com/watch?v=uoIxmJeb6Kg,https://www.youtube.com/watch?v=CM_Qhcpc1us,zugeordnet
"092 / Tatra Tram in Kyiv, Ukraine (Enhanced 4K)",https://www.youtube.com/watch?v=6v76fsb8jes,https://www.youtube.com/watch?v=g_ynBcYgNoM,zugeordnet
"093 / Karpfen and Mirage, Winniza, Ukraine (Enhanced 4K)",https://www.youtube.com/watch?v=x-HQL07mzVA,https://www.youtube.com/watch?v=HcWVqIwrBE4,zugeordnet
094 / Welcome to Ukraine (Enhanced 4K),https://www.youtube.com/watch?v=TzMvazqITUk,https://www.youtube.com/watch?v=Tg8RccQYnPA,zugeordnet
1997 HAND OVER (Enhanced 4K),https://www.youtube.com/watch?v=ibzy77-a-2A,https://www.youtube.com/watch?v=R4bK1jJSfQc,zugeordnet
86c / Baboons out of Kenya (Enhanced 4K),https://www.youtube.com/watch?v=rqZoxtXql9E,https://www.youtube.com/watch?v=Oy6C9xa-IkQ,zugeordnet
90 / Heavenly Private Papamobil (Enhanced 4K),https://www.youtube.com/watch?v=0s3BrKzmNsg,https://www.youtube.com/watch?v=hYvlNNcPPEI,zugeordnet
?🎞?🎥? (Enhanced 4K),https://www.youtube.com/watch?v=BmePQu4Vs6A,,nicht zugeordnet
?🎞?🎥? (Enhanced 4K),https://www.youtube.com/watch?v=--cUjESX7pQ,https://www.youtube.com/watch?v=J42Hm1gVt_U,zugeordnet
A TESTAMENTUM – Yevgenyi Burak (Enhanced 4K),https://www.youtube.com/watch?v=aoxjEktqruo,https://www.youtube.com/watch?v=dOF5NTLfmn0,zugeordnet
"ACCORDION LESSON, DPRK (Enhanced 4K)",https://www.youtube.com/watch?v=NywefhQNLlE,https://www.youtube.com/watch?v=AkAtP0oKCMs,zugeordnet
ARCHITECTURE of a TRIAL (Enhanced 4K),https://www.youtube.com/watch?v=zBf7_L8FIvs,https://www.youtube.com/watch?v=Z3JLO-Vpk5U,zugeordnet
At natives deep inside Kamchatka (Enhanced 4K),https://www.youtube.com/watch?v=N1ZiC_cgKHs,https://www.youtube.com/watch?v=qnQMFzoMsHA,zugeordnet
Base Camp Everest – Top of the world (Enhanced 4K),https://www.youtube.com/watch?v=sv-GECx5IY4,,nicht zugeordnet
Bei meiner Ehre… (Enhanced 4K),https://www.youtube.com/watch?v=v7LCs1oi448,,nicht zugeordnet
Bei meiner Ehre… (Enhanced 4K),https://www.youtube.com/watch?v=Rj3sFNk2jis,https://www.youtube.com/watch?v=aqs-jHb2pnk,zugeordnet
BHUTAN LIVE (Enhanced 4K),https://www.youtube.com/watch?v=oss3TV8iTfw,https://www.youtube.com/watch?v=Q9VKZeHaUIc,zugeordnet
BLUEPRINTS of LIFE (Enhanced 4K),https://www.youtube.com/watch?v=gMSy6_iTGZA,https://www.youtube.com/watch?v=tljAVZCj6lw,zugeordnet
"BRUSH PAINTING, DPRK (Enhanced 4K)",https://www.youtube.com/watch?v=1YiVtv_Kfww,https://www.youtube.com/watch?v=sIK1U7gS-tw,zugeordnet
BUDAPEST diary (Enhanced 4K),https://www.youtube.com/watch?v=b5OT2KCWapY,https://www.youtube.com/watch?v=8wqZivWVLZs,zugeordnet
CABBAGE NETWORK (Enhanced 4K),https://www.youtube.com/watch?v=Xi2HpIz0Km8,,nicht zugeordnet
CABBAGE NETWORK (Enhanced 4K),https://www.youtube.com/watch?v=o_754MRk4ZE,https://www.youtube.com/watch?v=P5eG6xQ1gJg,zugeordnet
CALL OF THE SNOUT (Enhanced 4K),https://www.youtube.com/watch?v=VCYEHpdRRBM,https://www.youtube.com/watch?v=i8XzcDXpBoY,zugeordnet
CAMBODIA / DUST of LIFE (Enhanced 4K),https://www.youtube.com/watch?v=2EZm5bnYLPM,,nicht zugeordnet
CAMBODIA / DUST of LIFE (Enhanced 4K),https://www.youtube.com/watch?v=SCqAUnc6jmQ,https://www.youtube.com/watch?v=mgUOHubnEC8,zugeordnet
CHINA / CCTV - PORTRAIT of JÜRG DA VAZ (Enhanced 4K bright),https://www.youtube.com/watch?v=-f_2-Ao1jYg,,nicht zugeordnet
CHINA / CCTV - PORTRAIT of JÜRG DA VAZ (Enhanced 4K),https://www.youtube.com/watch?v=PLLmY1QEMus,,nicht zugeordnet
CHINA / CCTV - PORTRAIT of JÜRG DA VAZ (Enhanced 4K),https://www.youtube.com/watch?v=euDJXk6hC80,https://www.youtube.com/watch?v=R2zxpDOmjfA,zugeordnet
COME WITH ME (Enhanced 4K),https://www.youtube.com/watch?v=f9p8OC51L9c,https://www.youtube.com/watch?v=fwSfBzIftJI,zugeordnet
CROSS BORDERS (Enhanced 4K),https://www.youtube.com/watch?v=c7Pk8lso6AA,https://www.youtube.com/watch?v=RTcR_xd9S_I,zugeordnet
CUTTING-EDGE (Enhanced 4K),https://www.youtube.com/watch?v=tiaduUWvu_k,https://www.youtube.com/watch?v=QPQyVHtCyho,zugeordnet
DAS TESTAMENT - Yevgenyi Burak (Enhanced 4K),https://www.youtube.com/watch?v=ZL4fpsfZ9KQ,https://www.youtube.com/watch?v=-eTyUFV-KB8,zugeordnet
DON'T LOOK HERE (Enhanced 4K),https://www.youtube.com/watch?v=_XCeF_E9Pmo,https://www.youtube.com/watch?v=TPxRCZqsrPo,zugeordnet
DPRK / 37th floor - Pyongyang (Enhanced 4K),https://www.youtube.com/watch?v=R6F-ie6gQiE,https://www.youtube.com/watch?v=6JCZA5BMpg0,zugeordnet
"DPRK / Dongan - Pyongyang, uncensored footage (Enhanced 4K)",https://www.youtube.com/watch?v=oR6dNEbBMDk,https://www.youtube.com/watch?v=BXdKRjSVsvg,zugeordnet
DPRK / DRAMA CLASS (Enhanced 4K),https://www.youtube.com/watch?v=ghUf1WlCvZg,https://www.youtube.com/watch?v=pdya9ZzlGhg,zugeordnet
DPRK / GAYAGEUM - concert zither (Enhanced 4K),https://www.youtube.com/watch?v=lLNFpEBOaIE,https://www.youtube.com/watch?v=0RRuKv3u7dU,zugeordnet
DPRK / Guns and Cherry Blossoms (Enhanced 4K),https://www.youtube.com/watch?v=mgiCufz-q4E,https://www.youtube.com/watch?v=rNtr5Y7Yaok,zugeordnet
DPRK / Hero to Zero / eyes wide - mouth shut (Enhanced 4K),https://www.youtube.com/watch?v=Y6gWfXoTH9M,https://www.youtube.com/watch?v=NyUEAixkcfQ,zugeordnet
DPRK / KIM DYNASTY - teaching method (Enhanced 4K),https://www.youtube.com/watch?v=YyxnEtDf3G4,https://www.youtube.com/watch?v=5AdE5zNRq6w,zugeordnet
DPRK / KIM JONG IL / moviemaker - all about love (Enhanced 4K),https://www.youtube.com/watch?v=KLCqrlGWOnE,https://www.youtube.com/watch?v=nIjgA9_9tgM,zugeordnet
DPRK / Overland from Panmunjon to Pyongyang (Enhanced 4K),https://www.youtube.com/watch?v=M_DZeS67Wy8,https://www.youtube.com/watch?v=PVSGvKb2pzU,zugeordnet
DPRK / Pyongyang Metro (Enhanced 4K),https://www.youtube.com/watch?v=mUHM3XTG8yA,https://www.youtube.com/watch?v=-x_aIkSrXFw,zugeordnet
DPRK / Swiss Yodeling over Pyongyang (Enhanced 4K),https://www.youtube.com/watch?v=u0JhthQKRhY,https://www.youtube.com/watch?v=4sgXo0I4uTI,zugeordnet
DPRK / TRADITIONAL DANCE (Enhanced 4K),https://www.youtube.com/watch?v=rKXO40z_6P4,https://www.youtube.com/watch?v=y81sU3NL3Fo,zugeordnet
"DRAWING PRACTISE, DPRK (Enhanced 4K)",https://www.youtube.com/watch?v=WDUOdzD7iR0,https://www.youtube.com/watch?v=lCpwATzkfMA,zugeordnet
drip drip (Enhanced 4K),https://www.youtube.com/watch?v=ckW6tqVuvYc,https://www.youtube.com/watch?v=MKwI2DLtPos,zugeordnet
EMOTIONS (Enhanced 4K),https://www.youtube.com/watch?v=lXDPKBVXVgU,https://www.youtube.com/watch?v=Gz-ulMPi8R8,zugeordnet
enter 🇧🇹BHUTAN🇧🇹 (Enhanced 4K),https://www.youtube.com/watch?v=dPuyFU3T2Hg,https://www.youtube.com/watch?v=ef1zAYI6Akg,zugeordnet
FAMILY LIFE (Enhanced 4K),https://www.youtube.com/watch?v=NEgJG19P0uw,https://www.youtube.com/watch?v=uGvmLs3uBys,zugeordnet
FATHER SAID: (Enhanced 4K),https://www.youtube.com/watch?v=8-656HNLAO4,https://www.youtube.com/watch?v=I0HeJAlbtY4,zugeordnet
FILMTIME – MTV m2 Hungarian Television (Enhanced 4K),https://www.youtube.com/watch?v=dJAybqPxKfw,https://www.youtube.com/watch?v=hH4mTkFUKdg,zugeordnet
FISH n‘ PISS (Enhanced 4K),https://www.youtube.com/watch?v=0apHF3mNDac,https://www.youtube.com/watch?v=UbZzwqQ1ocw,zugeordnet
Fly over Kamchatka (Enhanced 4K),https://www.youtube.com/watch?v=c-rqUkjdxk0,https://www.youtube.com/watch?v=6L-z22_WnvA,zugeordnet
FORCED adjustment (Enhanced 4K),https://www.youtube.com/watch?v=8k6_LMfbMiM,https://www.youtube.com/watch?v=UvrS8IpQSl8,zugeordnet
fucking good KAMCHATKA – Ballet for Two Poachers (English Edition) (Enhanced 4K),https://www.youtube.com/watch?v=KKvkEH2kdwY,https://www.youtube.com/watch?v=Ydkc8oZzHBY,zugeordnet
fucking good KAMCHATKA – Ballett für Zwei Fischdiebe (Deutsche Edition) (Enhanced 4K),https://www.youtube.com/watch?v=COVVWLj01tE,,nicht zugeordnet
fucking good KAMCHATKA – Ballett für Zwei Fischdiebe (Deutsche Edition) (Enhanced 4K),https://www.youtube.com/watch?v=6qgf1ve82bk,https://www.youtube.com/watch?v=rxHoEF73O5k,zugeordnet
fucking good KAMCHATKA – kurva jó (Hungarian Edition) (Enhanced 4K),https://www.youtube.com/watch?v=-rNd-pElc6s,https://www.youtube.com/watch?v=XtzTRGmGWuM,zugeordnet
Fundaziun Da Vaz – Ein Einblick (Enhanced 4K),https://www.youtube.com/watch?v=SDyTrVeEsPM,https://www.youtube.com/watch?v=KR9bAUPmCPc,zugeordnet
GAZA / 35 Million Dollars in a Suitcase – Gaza in Pain (Enhanced 4K),https://www.youtube.com/watch?v=PKNfogo5kyE,https://www.youtube.com/watch?v=lA-HJkXDE2A,zugeordnet
GAZA / HAMAS – RISE to POWER (English Edition) (Enhanced 4K),https://www.youtube.com/watch?v=AWZcGZVfpDw,https://www.youtube.com/watch?v=N6jAviwcNmo,zugeordnet
